iter	RMSE
0	172.1427398
1	167.3106462
2	162.5911729
3	158.0408243
4	153.5705246
5	149.1396637
6	144.9815497
7	140.8783847
8	136.8445827
9	133.0273165
10	129.2429901
11	125.5780311
12	122.1065882
13	118.8918017
14	115.6378757
15	112.3939711
16	109.2776554
17	106.1708064
18	103.1654114
19	100.1892038
20	97.31533026
21	94.59197986
22	92.02692893
23	89.43845545
24	86.93744195
25	84.47789475
26	82.158118
27	79.82245048
28	77.63944301
29	75.41753743
30	73.29662487
31	71.24571693
32	69.2314238
33	67.35175266
34	65.4572602
35	63.65580526
36	61.89315695
37	60.21010775
38	58.57032413
39	56.94809983
40	55.39967677
41	53.8384947
42	52.37420083
43	50.94023604
44	49.53040196
45	48.15348446
46	46.80265561
47	45.50130481
48	44.22266949
49	42.98185546
50	41.77123217
51	40.68379166
52	39.53634506
53	38.44718352
54	37.40434299
55	36.38019818
56	35.40283941
57	34.44055384
58	33.51095639
59	32.61375815
60	31.75512364
61	30.90677193
62	30.07827679
63	29.27726189
64	28.49501998
65	27.73210993
66	27.02303913
67	26.29839983
68	25.61469693
69	24.94403641
70	24.27869712
71	23.66723165
72	23.05501707
73	22.476369
74	21.91409887
75	21.35290821
76	20.81355451
77	20.26578582
78	19.77337924
79	19.26359104
80	18.76509789
81	18.321872
82	17.87105813
83	17.43958305
84	17.01446956
85	16.60136889
86	16.21416532
87	15.83406188
88	15.46221514
89	15.09549351
90	14.71764896
91	14.36573839
92	14.05622091
93	13.74232689
94	13.41970367
95	13.11319726
96	12.84892215
97	12.58297228
98	12.30656691
99	12.03119936
100	11.75930616
101	11.50077992
102	11.28146659
103	11.04605201
104	10.81597546
105	10.58983102
106	10.37596992
107	10.17358159
108	9.970277777
109	9.791610356
110	9.600992431
111	9.416998156
112	9.239674997
113	9.057160868
114	8.890399373
115	8.736673279
116	8.598158957
117	8.444294012
118	8.290991054
119	8.141017544
120	8.025609214
121	7.889365574
122	7.75739624
123	7.631652617
124	7.502170866
125	7.403843952
126	7.286813613
127	7.190568355
128	7.097552562
129	6.98701198
130	6.883892986
131	6.786650808
132	6.691582592
133	6.608100427
134	6.523857278
135	6.441465563
136	6.365351329
137	6.281634302
138	6.200598089
139	6.121350156
140	6.047454886
141	5.993575791
142	5.922597216
143	5.851779286
144	5.791942352
145	5.7423936
146	5.695104318
147	5.641247102
148	5.592921022
149	5.533536924
150	5.483788434
151	5.452978202
152	5.392316934
153	5.34200477
154	5.294570636
155	5.243889408
156	5.197149059
157	5.147008525
158	5.104683169
159	5.062909584
160	5.035374602
161	4.990437407
162	4.964581133
163	4.928416873
164	4.895693196
165	4.85865512
166	4.825922842
167	4.788734402
168	4.74839026
169	4.725674148
170	4.699759416
171	4.672548086
172	4.649111342
