iter	Passed	Remaining
0	13	66031
1	24	62389
2	34	57038
3	50	63672
4	67	67411
5	80	67115
6	94	67678
7	107	67289
8	121	67216
9	135	67566
10	147	66816
11	160	66730
12	174	66986
13	187	66946
14	202	67156
15	215	67158
16	229	67179
17	241	66865
18	258	67778
19	272	67803
20	278	66059
21	292	66136
22	306	66215
23	322	66829
24	336	66898
25	351	67182
26	368	67823
27	386	68566
28	402	69074
29	417	69157
30	433	69563
31	444	69015
32	455	68490
33	477	69754
34	490	69642
35	502	69260
36	515	69138
37	527	68857
38	540	68739
39	553	68657
40	560	67757
41	573	67756
42	582	67176
43	596	67189
44	611	67290
45	623	67182
46	637	67138
47	652	67364
48	669	67664
49	684	67781
50	701	68100
51	718	68343
52	732	68340
53	745	68326
54	762	68570
55	780	68892
56	794	68937
57	808	68920
58	821	68780
59	837	68970
60	852	69037
61	869	69248
62	896	70219
63	924	71295
64	938	71265
65	953	71290
66	966	71130
67	979	71037
68	992	70913
69	1004	70764
70	1017	70630
71	1029	70439
72	1042	70369
73	1055	70294
74	1068	70179
75	1080	70025
76	1090	69752
77	1112	70213
78	1125	70100
79	1138	69996
80	1151	69909
81	1163	69801
82	1176	69686
83	1189	69616
84	1202	69504
85	1215	69428
86	1228	69391
87	1242	69377
88	1255	69265
89	1269	69232
90	1279	69042
91	1291	68923
92	1301	68652
93	1307	68252
94	1319	68125
95	1332	68091
96	1347	68086
97	1359	68017
98	1368	67750
99	1382	67729
100	1397	67808
101	1412	67819
102	1425	67752
103	1438	67716
104	1452	67708
105	1464	67616
106	1473	67376
107	1488	67428
108	1502	67414
109	1514	67319
110	1526	67225
111	1540	67244
112	1556	67318
113	1579	67711
114	1596	67812
115	1614	67962
116	1628	67950
117	1641	67916
118	1653	67841
119	1668	67866
120	1683	67872
121	1698	67926
122	1714	67973
123	1727	67921
124	1748	68172
125	1764	68265
126	1777	68196
127	1790	68140
128	1796	67838
129	1809	67778
130	1823	67775
131	1835	67708
132	1849	67692
133	1863	67671
134	1877	67666
135	1891	67639
136	1909	67797
137	1946	68569
138	1966	68767
139	1988	69015
140	2004	69074
141	2017	69030
142	2032	69028
143	2048	69076
144	2062	69066
145	2077	69083
146	2089	68988
147	2106	69052
148	2121	69085
149	2132	68959
150	2142	68810
151	2155	68758
152	2173	68852
153	2186	68819
154	2199	68760
155	2216	68837
156	2230	68799
157	2244	68790
158	2256	68710
159	2270	68669
160	2284	68652
161	2298	68640
162	2311	68588
163	2324	68547
164	2339	68552
165	2356	68621
166	2372	68664
167	2389	68714
168	2403	68705
169	2416	68645
170	2427	68560
171	2440	68506
172	2452	68419
173	2466	68415
174	2478	68329
175	2490	68258
176	2503	68209
177	2515	68152
178	2528	68099
179	2534	67863
180	2548	67849
181	2562	67829
182	2580	67924
183	2595	67942
184	2612	67984
185	2627	68003
186	2640	67961
187	2653	67929
188	2666	67874
189	2678	67812
190	2691	67771
191	2703	67690
192	2716	67657
193	2730	67631
194	2743	67601
195	2752	67474
196	2764	67400
197	2781	67468
198	2795	67434
199	2809	67426
200	2823	67422
201	2837	67404
202	2846	67272
203	2860	67248
204	2875	67247
205	2890	67276
206	2905	67273
207	2918	67244
208	2935	67283
209	2950	67288
210	2967	67352
211	2988	67503
212	3005	67553
213	3020	67558
214	3035	67568
215	3048	67527
216	3054	67333
217	3069	67321
218	3083	67306
219	3096	67273
220	3111	67294
221	3119	67143
222	3133	67134
223	3148	67124
224	3155	66957
225	3169	66959
226	3184	66966
227	3199	66968
228	3213	66957
229	3233	67049
230	3242	66949
231	3256	66918
232	3265	66806
233	3279	66804
234	3294	66807
235	3307	66771
236	3322	66778
237	3338	66790
238	3353	66808
239	3386	67171
240	3412	67380
241	3423	67317
242	3436	67279
243	3450	67264
244	3463	67223
245	3472	67106
246	3481	66991
247	3495	66968
248	3508	66936
249	3519	66874
250	3526	66715
251	3538	66662
252	3549	66604
253	3560	66531
254	3574	66516
255	3592	66569
256	3603	66500
257	3617	66489
258	3629	66441
259	3642	66408
260	3654	66356
261	3667	66321
262	3678	66263
263	3690	66212
264	3702	66151
265	3714	66112
266	3720	65942
267	3726	65791
268	3738	65754
269	3750	65700
270	3758	65589
271	3763	65425
272	3770	65288
273	3774	65101
274	3786	65052
275	3791	64892
276	3809	64953
277	3823	64938
278	3834	64881
279	3840	64747
280	3856	64760
